entidade;numero_processo;contrato;num_contrato_orgao;objeto;valor_global;cnpj;razao_social;data_de_celebracao;data_de_vigencia;situacao;local_da_execucao;modalidade_de_contratacao;subtipo_de_contrato;tipo_de_aquisicao;arquivo_origem;data_inicio;data_fim
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00158/2016;001/SEDEC;O objeto do presente instrumento refere-se a contratacao de empresa especializada na prestacao dos servicos de confeccao de carimbos no perimetro urbano da cidade de Cuiaba, para atender a Secretaria de Estado de Desenvolvimento Economico SEDEC, que deri;0.0;03750414000126;GRAFICA DO PRETO LTDA- ME;;08/01/2016 a 07/01/2017;ATIVO;;ADESAO;Servios Grficos;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_16.xls;2016-01-08;2017-01-07
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;712216;01099/2017;029/2014/SEDEC (2 Aditivo);Contratacao de empresa de engenharia para execucao de infraestrutura edificacao turistica - Obra de construcao do Centro de Eventos do Municipio de Tangara da Serra-MT.;7684781.67;01898295000128;GEOSOLO ENGENHARIA PLANEJAMENTO E CONSULTORIA LTDA.;2016-12-12;13/12/2016 a 12/12/2017;CELEBRADO;;CONCORRENCIA;Obras de Infra-Estrutura;51 - OBRAS E INSTALACOES;transparencia_excel_16.xls;2016-12-13;2017-12-12
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00089/2017;023/2016/SEDEC;Contratacao de pessoa juridica especializada NA PRESTACAO DE SERVICOS DE VIGILANCIA ARMADA.;190443.48;08282957000180;PANTANAL VIGILANCIA E SEGURANCA LTDA.;2016-12-22;22/12/2016 a 21/12/2017;CELEBRADO;;PREGAO PRESENCIAL;Vigilncia;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_16.xls;2016-12-22;2017-12-21
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;410376;00100/2017;021/2016/SEDEC;Contratacao de empresa especializada na prestacao de servico de manutencao preventiva e corretiva, sem fornecimento de pecas, no elevador da Secretaria de Estado de Desenvolvimento Economico.;4788.0;26775577000169;ELEVAMAT CONSERVADORA DE ELEVADORES LTDA EPP;2016-11-22;22/11/2016 a 21/11/2017;CELEBRADO;;DISPENSA DE LICITACAO;Manuteno de Mveis e Equip.;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_16.xls;2016-11-22;2017-11-21
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00869/2017;021/2015/SEDEC-1Termo Aditivo;Prestacao de servicos de entrega e coleta de pequenas cargas, documentos, correspondencias, pequenos objetos, sendo servicos nao realizados pela Empresa Brasileira de Correios e Telegrafos ECT, por meio de motocicletas equipadas com bau e condutor, deno;32400.0;08967189000106;ANDRE CABRAL DE AQUINO EIRELI ME;2016-11-25;26/11/2016 a 25/11/2017;CELEBRADO;;PREGAO PRESENCIAL;Fretes;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_16.xls;2016-11-26;2017-11-25
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00329/2017;019/2013/SEDEC-3Termo Aditivo;Prestacao de servico telefonico fixo comutado e servicos vinculados instalacao e assinatura, nas modalidades local, com discagem direta a ramal DDR, longa distancia nacional LDN e longa distancia internacional LDI e terminais nao residenciais, ser;74395.68;76535764000143;OI S/A;2016-10-28;28/10/2016 a 27/10/2017;CELEBRADO;;ADESAO;Comunicao Em Geral;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_16.xls;2016-10-28;2017-10-27
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00583/2017;025/2015 (1 Termo Aditivo);Contratacao de empresa especializada na prestacao de servicos de agenciamento junto as instituicoes de ensino, sediadas em Territorio Mato-grossense, de estudantes do ensino superior, para preenchimento de bolsas de estagio existentes na Secretaria de Est;101406.81;03986163000183;INSTITUTO EUVALDO LODI;2016-12-09;11/12/2016 a 10/12/2017;ATIVO;;PREGAO ELETRONICO;Terceirizaes;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_16.xls;2016-12-11;2017-12-10
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01082/2017;020/2016/SEDEC;Prestacao de servicos de confeccao e instalacao de placas e outros materiais de sinalizacao para atender a demanda da SEDEC.;9798.0;00113059000196;A. S. SANTOS & CIA LTDA EPP.;2016-11-08;08/11/2016 a 07/11/2017;CELEBRADO;;ADESAO;Instalao de Equipamentos Em Geral;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_16.xls;2016-11-08;2017-11-07
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01163/2017;024/2014/SEDEC (4 Aditivo);- CONTRATO no 024/2014/SEDEC: Contratacao de empresa especializada para confeccao e instalacao de placas de Sinalizacao Turistica Bilingue, em Portugues e Ingles alem de paineis em Braille, visando adequar e/ou complementar a Sinalizacao existente nas ro;3339823.88;21113837000117;CONSORCIO MT TUR;2016-12-07;10/12/2016 a 09/12/2017;CELEBRADO;;PREGAO ELETRONICO;Obras de Infra-Estrutura;51 - OBRAS E INSTALACOES;transparencia_excel_16.xls;2016-12-10;2017-12-09
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01063/2017;022/2016/SEDEC;"Prestacao de servicos continuados de gerenciamento e controle de fornecimento de combustiveis (Gasolina comum; Diesel comum e S10; e Etanol comum), em rede de postos credenciados, com implantacao e operacao de sistema informatizado e integrado, acessiv";119365.5;03506307000157;TICKET SOLUCOES HDFGT S.A;2017-12-21;16/12/2016 a 01/01/2019;CELEBRADO;;ADESAO;Terceirizaes;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_16.xls;2016-12-16;2019-01-01
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;379528;00087/2017;002/2017/SEDEC;O objeto do presente Contrato consiste na locacao de um Container Almoxarifado, fabricado em aco galvanizado, medindo 2m30 x 6m x 2h50 altura, contendo uma porta de acesso medindo 0,80 x 2m10, duas janelas de correr de 82cm x 84cm, instalacao eletrica (22;6000.0;02580316000478;ATIVA LOCACAO LTDA;2017-02-03;03/02/2017 a 02/02/2018;ATIVO;;DISPENSA DE LICITACAO;Locao de Mveis;Locacao de Bens;transparencia_excel_17.xls;2017-02-03;2018-02-02
